"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT06","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-08",,,"0.27",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-09",,,"0.13",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-10",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-11",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-13",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-14",,,"0.16",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-15",,,"0.48",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-16",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-17",,,"0.09",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-18",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-19",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-20",,,"0.91",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-21",,,"0.57",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-22",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-23",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-24",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-25",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-26",,,"0.27",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-27",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-28",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-29",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-04-30",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-05",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-06",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-07",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-08",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-09",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-10",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-11",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-13",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-14",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-15",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-17",,,"0.72",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-18",,,"0.12",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-19",,,"0.87",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-20",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-21",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-22",,,"0.30",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-23",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-24",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-25",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-26",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-27",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-28",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-29",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-30",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-05-31",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-01",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-02",,,"2.72",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-03",,,"0.08",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-04",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-05",,,"0.44",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-06",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-07",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-08",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-09",,,"1.27",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-10",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-11",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-12",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-13",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-14",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-15",,,"0.83",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-16",,,"0.03",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-06-17",,,"0.00",,,,,,,,,,
